id	family	group	lang	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	example_as_in_source	example	translation_as_in_source	translation	gloss	example_comment	example_source	example_page	contributor	date
88	East Caucasian	Avar	Avar	Zaqatala	dialect_nt1	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	гъардали	ʁardali	кукуруза	maize			saidova2008	394	Samira Verhees	March 2025
5	Turkic	Oghuz	Azerbaijani	Darvag	village	no	yes	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	гьаджибугъда	haǯibuʁda	кукуруза	maize			DagLoans database	Darvag1	Samira Verhees	March 2025
98	Turkic	Oghuz	Azerbaijani	Darvag	village	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	къаргьдали	qːarʁdali	кукуруза	maize			DagLoans database	Darvag2	Samira Verhees	March 2025
185	Turkic	Oghuz	Azerbaijani	Derbent	village	yes	yes	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	HACIBUĞDA 	haǯibuɣda	qarğıdalı	maize			obastan		Samira Verhees	March 2025
122	East Caucasian	Lezgic	Lezgian	Ashaga-Arkhit	village	no	no	Maize	other	Type of name	unclear	Name origin	къаш	qːaš	кукуруза	maize			DagLoans database	Arkhit5	Samira Verhees	March 2025
101	Turkic	Oghuz	Azerbaijani	Darvag	village	no	no	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	хъаджибугъда	qaǯibuʁda	кукуруза	maize			DagLoans database	Darvag4, Darvag6	Samira Verhees	March 2025
140	Turkic	Oghuz	Azerbaijani	Yersi	village	no	no	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	хъаджибугъда	qaǯibuʁda	кукуруза	maize			DagLoans database	Yersi3	Samira Verhees	March 2025
13	Turkic	Oghuz	Azerbaijani	Ilisu	village	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	qarğıdalı	garɣɯdalɯ	кукуруза	maize			DagLoans database	Ilisu1	Samira Verhees	March 2025
152	East Caucasian	Lezgic	Lezgian	Ashaga-Tsinit	village	no	no	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	гъажибугъда	ʁažibuʁda	кукуруза	maize			DagLoans database	Tsinit2	Samira Verhees	March 2025
16	East Caucasian	Lezgic	Tabasaran	Khiv	village	no	no	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	гъаджибугъда	ʁaǯibuʁda	кукуруза	maize			DagLoans database	Khiv1, Khiv2	Samira Verhees	March 2025
19	East Caucasian	Lezgic	Tabasaran	Khoredzh	village	no	no	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	гъаджибугъда	ʁaǯibuʁda	кукуруза	maize			DagLoans database	Khoredzh1, Khoredzh2	Samira Verhees	March 2025
