id	family	group	lang	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	example_as_in_source	example	translation_as_in_source	translation	gloss	example_comment	example_source	example_page	contributor	date
9	East Caucasian	Lezgic	Lezgian	Fiy	village	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	къаргъуделиъ	qːarʁudeli	кукуруза	maize			DagLoans database	Fiy1,Fiy2	Samira Verhees	March 2025
10	East Caucasian	Lezgic	Lezgian	Gdym	village	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	къаргъудали	qːarʁudali	кукуруза	maize			DagLoans database	Gdym1,Gdym2	Samira Verhees	March 2025
17	East Caucasian	Lezgic	Lezgian	Khlyut	village	no	yes	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	ажибулда	ažibulda	кукуруза	maize			DagLoans database	Khlyut2	Samira Verhees	March 2025
149	East Caucasian	Lezgic	Lezgian	Kurag	village	no	yes	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	хIаджибугъда	ħaǯibuʁda	кукуруза	maize			DagLoans database	Kurag1	Samira Verhees	March 2025
53	East Caucasian	Lezgic	Lezgian	Standard Lezgian	lang	yes	yes	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	гьажибугъда	hažibuʁda	кукуруза	maize			talibovgadzhiev1966	97	Samira Verhees	March 2025
180	East Caucasian	Lezgic	Lezgian	Standard Lezgian	lang	yes	yes	Maize	hajj-wheat	Type of name	ħæžkʼa - Chechen	Name origin	гьажик1а	hažikʼa	кукуруза	maize			talibovgadzhiev1966	97	Samira Verhees	March 2025
54	Turkic	Kipchak	Nogai	Standard Nogai	lang	yes	yes	Maize	other wheat	Type of name	nart-wheat	Name origin	наьртуьк	nærtyk	кукуруза	maize		not a compound with wheat in Nogai, at least it doesn't seem to be synchronically.	baskakov1963	235	Samira Verhees	March 2025
12	East Caucasian	Lezgic	Rutul	Ikhrek	village	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	къаргъудали	qːarʁudali	кукуруза	maize			DagLoans database	Ikhrek1, Ikhrek2, Ikhrek3	Samira Verhees	March 2025
18	East Caucasian	Lezgic	Rutul	Khnov	village	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	къаргъудале	qːarʁudale	кукуруза	maize			DagLoans database	Khnov1, Khnov2, Khnov3	Samira Verhees	March 2025
21	East Caucasian	Lezgic	Rutul	Kiche	village	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	къаргъадалай	qːarʁadalaj	кукуруза	maize			DagLoans database	Kiche1	Samira Verhees	March 2025
155	East Caucasian	Lezgic	Rutul	Kina	village	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	къаргъудели	qːarʁudali	кукуруза	maize			DagLoans database	Kina2, Kina3, Kina4, Kina5, Kina2a, Kina3a	Samira Verhees	March 2025
153	East Caucasian	Lezgic	Rutul	Rutul	village	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	къаргъадалый	qːarʁadalɨj	кукуруза	maize			DagLoans database	Rutul1	Samira Verhees	March 2025
55	East Caucasian	Lezgic	Rutul	Standard Rutul	lang	yes	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	къаргъа'далый	qːarʁadalɨj	кукуруза	maize			alisultanovsulejmanova2019	207	Samira Verhees	March 2025
6	East Caucasian	Lezgic	Tabasaran	Dyubek	village	no	yes	Maize	hajj-wheat	Type of name	calque	Name origin	гьяджиндяхин	haˤǯindaˤχin	кукуруза	maize			DagLoans database	Dyubek1, Dyubek2,Dyubek3, Dyubek4	Samira Verhees	March 2025
15	East Caucasian	Lezgic	Tabasaran	Khapil'	village	no	yes	Maize	hajj-wheat	Type of name	calque	Name origin	гьяджидяхин	haˤǯidaˤχin	кукуруза	maize			DagLoans database	Khapil1, Khapil2, Khapil4	Samira Verhees	March 2025
128	East Caucasian	Lezgic	Tabasaran	Khiv	village	no	yes	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	гьяджибугъда	haˤǯibuʁda	кукуруза	maize			DagLoans database	Khiv3, Khiv4	Samira Verhees	March 2025
129	East Caucasian	Lezgic	Tabasaran	Khoredzh	village	no	yes	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	гьяджибугъда	haˤǯibuʁda	кукуруза	maize			DagLoans database	Khoredzh4, Khoredzh5, Khoredzh6	Samira Verhees	March 2025
156	East Caucasian	Lezgic	Tabasaran	Laka	village	no	yes	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	гьяджбугъда	haˤǯibuʁda	кукуруза	maize			DagLoans database	Laka1, Laka4, Laka5, Laka6	Samira Verhees	March 2025
56	East Caucasian	Lezgic	Tabasaran	Standard Tabasaran	lang	yes	yes	Maize	hajj-wheat	Type of name	haǯibuɣda - Azeri	Name origin	ГЬЯЖЙБУГЪДА	haˤžibuʁda	кукуруза	maize			xanmagomedovshalbuzov2001	133	Samira Verhees	March 2025
181	East Caucasian	Lezgic	Tabasaran	Standard Tabasaran	lang	yes	yes	Maize	hajj-wheat	Type of name	calque	Name origin	ГЬЯЖЙДЯХИН	haˤžidaˤxin	кукуруза	maize			xanmagomedovshalbuzov2001	133	Samira Verhees	March 2025
159	East Caucasian	Lezgic	Tabasaran	Tatil'	village	no	yes	Maize	hajj-wheat	Type of name	calque	Name origin	гьяджидяхин	haˤǯidaˤχin	кукуруза	maize			DagLoans database	Tatil2, Tatil3	Samira Verhees	March 2025
164	East Caucasian	Lezgic	Tabasaran	Yagdyg	village	no	yes	Maize	hajj-wheat	Type of name	calque	Name origin	гьяжидяхин	haˤžidaˤχin	кукуруза	maize			DagLoans database	Yagdyg3, Yagdyg6	Samira Verhees	March 2025
57	Indo-European	Iranian	Tat	Judeo-Tat	dialect_toplevel	yes	yes	Maize	prophet-wheat	Type of name	pejɣæmbærbuɣda - Azeri	Name origin	PƏQƏMBƏRİ	pægæmbær	кукуруза	maize			naftaliev2016	385	Samira Verhees	March 2025
130	East Caucasian	Andic	Tindi	Tindi	village	yes	yes	Maize	other	Type of name	unclear	Name origin	чакар	čakar	кукуруза	maize		Homophonous with 'sugar' (incl. stress pattern)	magomedova2003	370	Samira Verhees	March 2025
11	East Caucasian	Lezgic	Tsakhur	Gel'mets	village	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	къаргъадали	qːarʁadali	кукуруза	maize			DagLoans database	Gelmets1, Gelmets2, Gelmets3	Samira Verhees	March 2025
165	East Caucasian	Lezgic	Tsakhur	Kurdul	village	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	къаргъудалы	qːarʁudalɨ	кукуруза	maize			DagLoans database	Kurdul1, Kurdul2, Kurdul3	Samira Verhees	March 2025
166	East Caucasian	Lezgic	Tsakhur	Mikik	village	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	къаргъадали	qːarʁadali	кукуруза	maize			DagLoans database	Mikik1, Mikik2	Samira Verhees	March 2025
167	East Caucasian	Lezgic	Tsakhur	Qum	village	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	qarğıdəlı	garɣɯdalɯ	кукуруза	maize			DagLoans database	Qum1, Qum2	Samira Verhees	March 2025
179	East Caucasian	Lezgic	Lezgian	Standard Lezgian	lang	yes	no	Maize	other	Type of name	kukuruza - Russian	Name origin	кукуруз	kukuruz	кукуруза	maize			talibovgadzhiev1966	165	Samira Verhees	March 2025
59	East Caucasian	Lezgic	Tsakhur	Tsakh	dialect_toplevel	yes	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	къаргъуделий//къаргъудалий	qːarʁadelij // qːarʁudalij 	кукуруза	maize			ibragimovnurmamedov2010	215	Samira Verhees	March 2025
169	East Caucasian	Tsezic	Tsez	Kidero	village	no	yes	Maize	other	Type of name	kukuruza - Russian	Name origin	кукуруза	kukuruza	кукуруза	maize			DagLoans database	Kidero3	Samira Verhees	March 2025
44	East Caucasian	Tsezic	Hinuq	Hinuq	village	no	no	Maize	other	Type of name	unclear	Name origin	ГЪÁГЪА	ʁaʁa	зерно (полопавшееся при поджаривании), воздушная кукуруза	roasted maize kernels			xalilovisakov2005	191	Samira Verhees	March 2025
60	East Caucasian	Tsezic	Tsez	Kidero	dialect_nt1	yes	yes	Maize	other	Type of name	simindi - Georgian	Name origin	симилди	simildi	кукуруза	maize			khalilov1999	228	Samira Verhees	March 2025
61	East Caucasian	Nakh	Tsova-Tush	Zemo-Alvani	village	yes	yes	Maize	other	Type of name	simindi - Georgian	Name origin	simĩd	simiːd	maize	maize			bertlani2013	280	Samira Verhees	March 2025
183	East Caucasian	Lezgic	Udi	Nizh	dialect_toplevel	no	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	къардали	qːardali	кукуруза	maize			gukasyan1974	154	Samira Verhees	March 2025
62	East Caucasian	Lezgic	Udi	Vartashen	dialect_toplevel	yes	yes	Maize	other	Type of name	garɣɯdalɯ - Azeri	Name origin	къаргъодали	qːarʁodali	кукуруза	maize			gukasyan1974	154	Samira Verhees	March 2025
