CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	HOWPUBLISHED	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	date_added	COMMENT	correction_notes
article	daniel2021	Даниэль, Михаил А.	Согласование по косвенности в нахско-дагестанских языках: обзор эмпирических данных	2021	Agreement in obliqueness in East Caucasian: A formal survey			102--130					Rhema		2				Rita Popova	07.09.2022	NOT IN THE FOLDER	
incollection	toldova1996	Toldova, Svetlana	Reflexivization	1996		Lincom Europa	Munich/Newcastle	217--226	Godoberi		Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander								Elena Shvedova	16.02.2023		
incollection	kibrik1996trans	Kibrik, Andrei	Transitivity in lexicon and grammar	1996		Lincom Europa	Munich/Newcastle	107--146	Godoberi		Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander								Elena Shvedova	22.02.2023		
incollection	schulze2008	Schulze, Wolfgang	Deictic Strategies in Udi	2008		Академия	Moscow	241--310	Удинский сборник: Грамматика. Лексика. История языка	Udi. Grammar. Lexicon. History of the language	Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.								Timofey Mukhin	08.03.2023		
book	imnajshvili1963	Имнайшвили, Давид С.	Дидойский язык в сравнении с гинухским и хваршийским языками	1963	Tsez language in comparison with Hinuq and Khwarshi languages	Издательство Академии наук Грузинской ССР	Tbilisi												Timofey Mukhin	08.03.2023		
book	uslar1979	Услар, Пётр К.	Табасаранский язык	1979	Tabasaran	Мецниереба	Tbilisi												Timofey Mukhin	08.03.2023		
book	kurkiev2005	Куркиев, Алимбек С.	Ингушско-русский словарь	2005	Ingush-Russian dictionary	Издательство "Сердало"	Magas												Timofei Dedov	15.03.2023		
book	bekovaetal2009	Бекова, А. И. and Дударов, У. Б. and Илиева, Ф. М. and Мальсагова, Л. Д. and Тариева, М. У.	Ингушско-Русский словарь	2009	Ingush-Russian dictionary	ГП КБР "Республиканский полиграфкомбинат им. Революции 1905 г."	Nalchik												Timofei Dedov	15.03.2023		full names of the authors
misc	ganenkov2021draft	Ganenkov, Dmitry	Chirag Dargwa	2021													manuscript		Maksim Melenchenko	30.03.2023	NOT IN THE FOLDER	
misc	mukhin2020	Mukhin, Timofey	Numerals in Kina Rutul	2020													Higher School of Economics Research Paper No. WP BRP 100/LNG/2020		Maksim Melenchenko	05.04.2023	NOT IN THE FOLDER	
misc	ganenkov2021draft_numerals	Ganenkov, Dmitry	Chirag Numerals	2021													manuscript		Maksim Melenchenko	14.04.2023	NOT IN THE FOLDER	
book	maxmudova2001	Махмудова, Светлана М.	Морфология рутульского языка	2001	Morphology of Rutul	Советский писатель	Moscow												Samira Verhees	22.04.2023	Not in the folder; added for chapter on causatives	
article	sulaibanovsumbatova2022	Сулайбанов, Г. Р. and Сумбатова, Н. Р.	Об одном типологическом раритете: каузатив в цугнинском диалекте даргинского языка.	2022	About a typological rarity: causative in the Tsugni dialect of Dargwa			109--131					Вопросы языкознания	2022	3				Samira Verhees	22.04.2023	Not in the folder; added for chapter on causatives	
incollection	barylnikova2019	Barylnikova, Daria	Periphrastic causative constructions in Mehweb	2019		Language Science Press	Berlin	167--188	The Mehweb language. Essays on phonology, morphology and syntax		Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry								Samira Verhees	22.04.2023		
incollection	daniel2019	Daniel, Michael	Mehweb verb morphology	2019		Language Science Press	Berlin	73--116	The Mehweb language. Essays on phonology, morphology and syntax		Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry								Samira Verhees	22.04.2023		
article	dobrushina2016	Dobrushina, Nina	Contact-induced usages of volitional moods in East Caucasian languages	2016				559--583					International Journal of Bilingualism	21	5				Pasha Astafiev	01.05.2023		
phdthesis	ibragimova2012	Ибрагимова, Саида С.	Фонетические и морфологические особенности худуцского говора сирхинского диалекта даргинского языка	2012	Phonetic and morphological features of Khuduts idiom of Sirkhin dialect of Dargwa language											Дагестанский государственный педагогический университет			Asya Alekseeva	31.07.2023	NOT IN THE FOLDER	Russian title
article	belyaev2019	Беляев, Олег И.	Место ширинского и амузгинского среди диалектов даргинского языка	2019	The Position of Shiri and Amuzgi among Dargwa Varieties			20-38					Томский журнал лингвистических и антропологических исследований	24	2				Asya Alekseeva	31.07.2023	NOT IN THE FOLDER	
phdthesis	dalgatov2017	Далгатов, Имамурза Х.	Сивухский говор каратинского языка	2017	Sivukh variety of Karata (abstract)											Дагестанский государственный педагогический университет	Автореферат		Maksim Melenchenko	14.10.2023	NOT IN THE FOLDER	
phdthesis	abdulaeva2001	Абдулаева, Индира А.	Ратлубский говор ахвахского языка: Фонетика и морфология	2001	Ratlub variety of Akhvakh: Phonetics and morphology											Дагестанский государственный педагогический университет	Автореферат		Maksim Melenchenko	14.10.2023	NOT IN THE FOLDER	
phdthesis	isakov1981	Исаков, Исак А.	Кусурский диалект аварского языка	1981	Kusur dialect of Avar		Makhachkala									Институт языка, литературы и искусства им. Г. Цадасы Дагестанского федерального исследовательского центра РАН			Maksim Melenchenko	14.10.2023	NOT IN THE FOLDER	school and address added
phdthesis	musalaeva2016	Мусалаева, Джавгарат А.	Фонетические и морфологические особенности салатавского диалекта аварского языка	2016	Phonetic and morphological features of the Salatav dialect of Avar											Дагестанский государственный педагогический университет	Автореферат		Maksim Melenchenko	14.10.2023	NOT IN THE FOLDER	
phdthesis	radzhabova2012	Раджабова, Разият Г.	Фонетические, морфологические и лексические особенности салтинского говора аварского языка: по данным речи села Аркас	2012	Phonetic, morphological and lexical features of the Salta dialect of Avar according to data from the village of Arkas											Дагестанский государственный педагогический университет	Автореферат		Maksim Melenchenko	14.10.2023	NOT IN THE FOLDER	
phdthesis	tagirova2003	Тагирова, Забихат М.	Гергебильский говор аварского языка	2003	Gergebil‘ variety of Avar											Дагестанский государственный педагогический университет	Автореферат		Maksim Melenchenko	14.10.2023	NOT IN THE FOLDER	
book	karimovakhalilov2013	Каримова, Раисат Шихабудиновна and Халилов, Маджид Шарипович	Заимствованная лексика в хваршинском языке	2013	Borrowed lexicon in Khwarshi	Алеф	Makhachkala												Maksim Melenchenko	14.10.2023	NOT IN THE FOLDER	
article	sirazhudinovaataev2007	Сиражудинова, К. К. and Атаев, Борис Махачевич	Имена числительные в некоторых диалектах аварского языка в сравнении с андо-цезскими	2007	Numerals in some dialects of the Avar language in comparison with Andic-Tsezic languages			89–91					Вестник Дагестанского государственного университета	6					Maksim Melenchenko	14.10.2023	NOT IN THE FOLDER	
inproceedings	ganenkovmaisak2008	Ganenkov, Dmitry and Maisak, Timur	Contact-induced morphological change in Agul dialects	2008					Workshop “Morphological Variation and Change in Languages of the Caucasus”										Maksim Melenchenko	14.10.2023	NOT IN THE FOLDER	I'm nor sure it's correct
phdthesis	asaliev2003	Асалиев, Джамалдин А.	Кимильский говор и его место в диалектной системе лезгинского языка	2003	Qimil variety and its place in the dialect system of Lezgian											Дагестанский государственный университет	Автореферат		Maksim Melenchenko	14.10.2023	NOT IN THE FOLDER	
book	arsakhanov1969	Арсаханов, Исраил А.	Чеченская диалектология	1969	Dialectology of Chechen	Чечено-Ингушское книжное издательство	Grozny												Maksim Melenchenko	14.10.2023		
phdthesis	asadova2013	Асадова, Гюльнисе Н.	Каракюринский говор самурского наречия лезгинского языка: фонетика, морфология, лексика 	2013	Karakyure variety of the Samur dialect of Lezgian: Phonetics, morphology, vocabulary											Дагестанский государственный педагогический университет	Автореферат	https://dissercat.com/content/karakyurinskii-govor-samurskogo-narechiya-lezginskogo-yazyka-fonetika-morfologiya-leksika	Maksim Melenchenko	14.10.23	NOT IN THE FOLDER	
phdthesis	aliverdieva2006	Аливердиева, Султанат А.	Фонетические и морфологические особенности гогазского говора лезгинского языка 	2006	The phonetic and morphological features of the Gogaz dialect of Lezgian 											Дагестанский государственный педагогический университет	Автореферат	https://dissercat.com/content/foneticheskie-i-morfologicheskie-osobennosti-gogazskogo-govora-lezginskogo-yazyka	Maksim Melenchenko	14.10.23	NOT IN THE FOLDER	
phdthesis	abdurakhmanova2014	Абдурахманова, Альбина М.	Фонетические и морфологические особенности курушского говора лезгинского языка 	2014	The phonetic and morphological features of the Kurush dialect of Lezgian 											Дагестанский государственный педагогический университет	Автореферат	https://dissercat.com/content/foneticheskie-i-morfologicheskie-osobennosti-kurushskogo-govora-lezginskogo-yazyka	Maksim Melenchenko	14.10.23	NOT IN THE FOLDER	
phdthesis	abdullaeva2019	Абдуллаева, Заира Р.	Меусишинский говор даргинского языка 	2019	Meusishi variety of Dargwa 											Дагестанский государственный педагогический университет	Автореферат	https://dissercat.com/content/meusishinskii-govor-darginskogo-yazyka	Maksim Melenchenko	14.10.23	NOT IN THE FOLDER	
phdthesis	ibragimov2011	Ибрагимов, Александр Г.	Гельмецкий диалект цахурского языка 	2011	Gel’mets dialect of Tsakhur 											Дагестанский государственный педагогический университет	Автореферат	https://dissercat.com/content/gelmetskii-dialekt-tsakhurskogo-yazyka	Maksim Melenchenko	14.10.23	NOT IN THE FOLDER	
phdthesis	karabekov2013	Карабеков, Руслан М.	Захитский говор лезгинского языка 	2013	Zakhit variety of Lezgian 											Дагестанский государственный педагогический университет	Автореферат	https://dissercat.com/content/zakhitskii-govor-lezginskogo-yazyka	Maksim Melenchenko	14.10.23	NOT IN THE FOLDER	
phdthesis	kadibagomaeva2009	Кадибагомаева, Заира А.	Словообразование в сирхинском диалекте даргинского языка: на материале нахкинского, нацинского и цугнинского говоров 	2009	The word formation in the Sirkhe dialect of Dargwa 											Дагестанский государственный педагогический университет	Автореферат	https://dissercat.com/content/slovoobrazovanie-v-sirkhinskom-dialekte-darginskogo-yazyka	Maksim Melenchenko	14.10.23	NOT IN THE FOLDER	
phdthesis	abdulaeva2013	Абдулаева, Зарина А.	Фонетические и морфологические особенности амушинского говора аварского языка 	2013	The phonetic and morphological features of the Amushi variety of Avar 											Дагестанский государственный педагогический университет	Автореферат	https://dissercat.com/content/foneticheskie-i-morfologicheskie-osobennosti-amushinskogo-govora-avarskogo-yazyka	Maksim Melenchenko	14.10.23	NOT IN THE FOLDER	
phdthesis	shakhbanova2011	Шахбанова, Патимат Г.	Фонетические и морфологические особенности карбачимахинского говора даргинского языка 	2011	The phonetic and morphological features of the Karbachimakhi variety of Dargwa 											Дагестанский государственный педагогический университет	Автореферат	https://dissercat.com/content/foneticheskie-i-morfologicheskie-osobennosti-karbachimakhinskogo-govora-darginskogo-yazyka	Maksim Melenchenko	14.10.23	NOT IN THE FOLDER	
